ID,comments
Kendrick,눈군 보통 goat라고 일컫는 장르 최고의 가수를 뽑을때는 자신이 보고 자란 세대만 꼽는게 아니니까요농구나 야구나 축구에서 조던 루스 펠레를 직접 보지 않고 goat로 논하는 사람이 많으니한국 발라드계는 유재하 이문세 김현식 등등을 최고로 꼽는 경우가 많은걸로 기억개인적으론 한국 발라드는 유재하의 그늘에서 벗어난적이 없다고 생각합니다
눈군,"Kendrick 유재하 이문세 김현식을 듣고 자란 세대가 제 나이대 학생들 사이에서 성시경 입지를 평가하기는 어려울거 같은데요? 전 성시경이 goat라고 말은 안 하지만, 보통 성시경이 goat라고 말하는 세대의 사람들은 발라드=성시경 라고 많이 언급하는 80 초반 ~ 80후반, 많이 봐서 90년대 초반 세대에요. 그 외에 신승훈이나 이승환을 언급하면 안 되는 이유는 위 댓글에 써있고요.. 학창시절에 들어본 적이 없는 세대에요. 마찬가지로 학창시절을 얼마 전에 지나왔던 장범준 세대가 장범준을 goat로 뽑으면 그냥 그런가보다 하죠. 왜냐면 그 사람들 추억에 가장 큰 각인이 있는 가수가 장범준이니까요."
Kendrick,눈군 듣고 자란 세대가 중요한게 아니라는 댓글인데 이해를 못 하신건가....
눈군,"Kendrick 대상 갯수로 하시는건가요, 대중평가를 얘기하시는 건가요, 인지도를 말하시는건가요 가창력을 말하시는 건가요?  누가 가수 goat 정의를 딱 내려준 게 아니었으니까 그냥 세대마다 자기 세대의 goat가 있다고 얘기하는 건데 이해를 못하시네요. 여기서 또 그런 말로 자극 하시려는건가 본데, 그냥 그럼 님이 보시던 그 계보가 중요하다고 생각하고 지나가세요 그럼.."
Kendrick,눈군 계보가 아닌 그 장르에 있어 가수가 끼친 성취를 따지는겁니다평가 기준에 따라 bts 임영웅 등 인기 많고 잘 팔리는 가수가 최고라 할 수 있지만 통상 어떠한 장르의 최고 가수를 논할때는 앨범과 그 장르에서의 입지를 생각하여 평가하죠그냥 이해를 못 하시는것 같으니 여기까지만 달겠습니다
눈군,Kendrick 아 예 님 말이 맞습니다ㅋㅋ
제발한국인은맹구,눈군 무슨 소리야..GOAT가 각자마다 다르다니..그럴거면 이 논쟁이 벌어지지도 않았죠..그리고 제가 잘 이해했는지 모르겠는데 신승훈은 발라드 계보에 들어갑니다이승철이 안들어갖ᆢㄷ
뉴돼지맨,크래프톤가자잇 신승훈은 발라드 고트 맞음 앨범판매량부터 적당히 기백만장 수준이 아니고 천만장이 넘어감 걍 조용필 서태지 김건모 이미자 등과 함께 대중가수 톱10에도 무조건 들어감
influxDB,크래프톤가자잇 니가 노래 아냐 모르냐로 기준 잡으면GOAT 없음
크래프톤가자잇,influxDB 30살 이전세대는 신승훈노래 잘모른다고 확신할수있음..
화이트보드,에펨트리 뻥안까고 그거 캡처하고 타사이트 순회공연다니면 펨코수준이라고 조리돌림 당함
싸우면혼난다,에펨트리 좋아요 천개가량 찍혔던데
애교자판기꽃케이,저교치기 첫사랑 들으며 맘아파본사람 없으면 돌을 던지라!
싸우면혼난다,원웨이브 ㅇㅈ
인천방개,라울과알레 성시경 많은건 둘째치고 장범준이랑 비교하는거 자체가 말이 안된다는 사람들 많았던게 의외였음
[전문가],라울과알레 노래실력을 대결하는거? 아니면 히트곡 누가 많냐의 대결? 기준이 뭐냐? 성시경이랑 장범준 붙여놓고 투기장 여는게 이상하네
저교치기,[전문가] 전체적으로지
9.3.0521,[전문가] 노래실력도 히트곡 숫자도 성시경이 위인데제일 히트한 곡이 장범준이 위인거지
케논,9.3.0521 히트곡수는 장범준이 훨씬더많음.의외로 가요계 황금기시절에 성시경 차트 1등 별로못해봄
9.3.0521,라울과알레 성시경이 위라고 장범준 저평가 소리 나오는게 웃긴데
호나나나나나,라울과알레 장범준 저평가가 아니라 성시경을 이긴다 하니까 어이가 없지
델카이저,[삭제된 댓글입니다.]
에펨자료받으러,델카이저 전체적인걸보라는말이지 무슨..성시경 대표곡이 너의모든순간임? 물론 성시경 노래중에 벚꽃엔딩넘는건없지 그건맞는데 멜론하트를 지표로는 못쓴다는말
델카이저,에펨자료받으러 [삭제된 댓글입니다.]
MP5,에펨자료받으러 거리에서도 제법 떴지만 벚꽃엔딩에는 못 비빔
에펨자료받으러,MP5 ㅇㅇ당연
델카이저,티아고메시 말빨이 딸려서 설명을 잘못하겠는데 장범준만큼성시경이  00년대 평정한곡은 없다고생각해서 장범준이 낫다고생각함
티아고메시,델카이저 뭐 각자 기준이 있는 거니까
가고시마,티아고메시 내가너의곁에잠시살았다는걸 은 김연우가부른거아님?
디레스터,주크박스 니가 댄 노래 중에서거리에서 말고는 아직까지 회자되는 노래도 아니다그리고 벚꽃엔딩에 비하면 인기 있는 곡도 아니고
애교자판기꽃케이,디레스터 희재 내게오는길 좋을텐데 넌 감동이었어 정도는 그리 무시받을곡은 아님벚꽃엔딩이 너무 넘사긴 하지만
애교자판기꽃케이,"티아고메시 약간 올타임 레전드 느낌인듯 나도 성시경쪽에 기울긴해도 벚꽃엔딩, 흔들리는꽃들~  이 두곡이 너무 쎄서 비빌곡이 생각 안나긴함이문세 붉은노을 김광석 사랑했지만  정도 가져와야할정도로 상징적이라..."
참치비빔,티아고메시 내가너의곁에잠시살았다는걸은 김연우(토이)
씨크릿츠,존나 유치하네 ㅋㅋ
반지하출신의간지,퍼틸레인 노래개좋다 한번 돌려봐
BEST 무협초보,성시경 마지막 앨범 히트곡이 언제냐? 작년에 앨범 새로 냈다가 그냥 소리소문없이 묻혔고 롱런한다는것도 예전 노래빨에 연예인으로 롱런하는거지 가수로 롱런하는게 아닌데장범준 당장 앨범낸다면 일단 무조건 실시간 최상위는 다 들어갈걸?가수로 보면 고점으로 상대도 안되고 롱런으로도 엄청 차이나는것도 아님 장범준은 현재 진행형이니까
에펨트리,무협초보 작년 정규 8집냈는데 초동 1만장으로 그냥 망함
물맛이좋아요,에펨트리 그 만장 중에 하나 와이프가 샀다
김해코스트코,티아고메시 오히려 장범준이 결혼하고 내려놓고 음악만 하는데 사람들이 계속 찾는거임잠이 오질 않네요도 걍 팬서비스 곡이었는데 대박난거미디어에 노출되는건 성시경이고
티아고메시,김해코스트코 난 음악적 전성기로 말하는 거지
내장지방,티아고메시 전성기로 말하면 장범준이 성시경 개패지 ㅋㅋㅋ성시경은 예능활동도 활발한데 절대 버스커 1집만큼 한 적이 없음 거리에서? 딱 그거만 버스커 1집에 비빌까 말까 한 정도지
박정규,"김해코스트코 팬서비스곡, 진지빠는곡 따로있음?"
무협초보,티아고메시 아니 글을 못읽냐 성시경은 예전에 그 전성기가 끝났다는거고 장범준은 지속중이라말을 한거자나 내가 최근 앨범 더 팔았으니 장범준 윈이랬냐 그 가수 롱런도르도 장범준이 전성기가 끝나봐야 비교가능하다는거지
한섬닷컴,화이트보드 원히트 원더는 앨범 100만장급 말하는거
무협초보,가면찾는BOT 그 데뷔년도 기준으로 성시경은 정성기가 예전에 끝났고 장범준은 현재진행형이라고
무협초보,가면찾는BOT 롱런도르하면서 아직도 잘나가는거마냥 얘기하니까 하는 소리아냐
가면찾는BOT,무협초보 장범준이 22년후에 성시경처럼 활동할수있으면 ㅇㅈ함 지금도 콘서트하면 매진되는 가수중 한명임 이정도면 롱런임
무협초보,가면찾는BOT 그니까 예전 히트곡으로 먹고사는가수라고 했자나 누가 뭐래 가수로써 현재진행형 전성기가 아니라고 말귀 디게 못알아듣네
가면찾는BOT,무협초보 데뷔 한지 22년이 됐는데 당연히 전성기가 아니지 니가 앨범내면 묻힌다는 소리자체가 개소리라고 22년차에 차트1위하는 가수가 얼마나 된다고 가수가 현역으로 10000석 넘는 콘서트 꾸준히 매진시키는것 만으로도 롱런하는거라고
무협초보,가면찾는BOT 그럼 에쵸티 잭키도 롱런이고 남진도 롱런이냐 뭔 말같지도 않은소리 하고있어
가면찾는BOT,무협초보 애쵸티는 애초에 해체되고 활동을 안하는거고 남진은 당연히 롱런이지 꾸준히 팬덤도 많고 계속 활동하면서 콘서트도 하는데 너빼고 전부 남진 롱런이라고 생각할듯
무협초보,가면찾는BOT 그래 너는 그렇게 생각해라 내 기준으로는 대중한테 어필하는 노래를 더 이상 내지못하는 가수는 적어도 대중가수로서의 커리어는 끝났다고 본다.
가면찾는BOT,무협초보 당장 17년도에 음원차트 1위찍음 단순 비교로 장범준이 2030년에 노래내서 음원차트 1위찍는거임 그리고 2035년에 콘서트 만석 매진시키는거 장범준은 롱런은 무슨 당장 커리어 이어가는것만으로도 감사해야할듯 성시경한테 롱런못했다고 하는 소리는 장범준이 2035년에 음원차트 성적 안좋다고 롱런못하네 이러는꼴 한마디로 개병신소리임
뒤앙민크,무협초보 남진은 롱런이 맞지 왜 아님? 아니라고 생각하는 이유좀..
가면찾는BOT,뒤앙민크 저 병신은 2-30년 뒤에도 음원차트 1등찍어야 롱런이라고 생각하나봄 저세키 논리면 롱런하는 가수 이세상이 없음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
에오를,무협초보 소리소문없이 묻혔다? 그정돈 아닌데. 잘 알지 못하는 거 같은데 꽤 단정적으로 말하는 태도는 많은 사람을 불쾌하게 함
무협초보,에오를 솔직히 저 정도로 잘 안된걸 소리소문 없이 묻혔다는 표현 못쓰면 아무대도 못쓰지.
04김지훈,무협초보 맞음 ㅋㅌㅋ 그냥 묻혔음
무협초보,courteou 이걸 임재범을 가져오면 성시경이 더 초라해지는거야 니 말대로 임재범 장범준하면 임재범 손 많이들어주겠지 왜? 임재범은 가창력 goat로 거론되는 가수니까 근데 성시경은 비슷한 나이대 다른 남자가수랑 비교우위조차 힘들자나 김나박이 이런가수들보다 성시경이 확실히 가창력 위라고 할수있음? 제일 장점인 부분이 탑이 아닌데 이걸 임재범을가져오냐
courteou,"무협초보 가수 비교에 뭔 기준이 왜 필요함 ?? 가창력, 음색 포함 내 취향이 걍 압도적으로 성시경이 위임 ㅋㅋㅋㅋㅋ 본인 취향이 장범준 위다 라고 하면 인정인데 뭔 히트곡, 음원성적이 장범준이 더 좋으니까 장범준이 더 좋은 가수다 이 지랄병 떠니까 이해가 안되는거지"
곰팡이,courteou 가창력도르 꺼내오게 한 건 임재범 언급한 님 아닌가요
팬덕택,곰팡이 지금 자기논리에 자기가 잡아먹힌줄도모를거임
내장지방,courteou 정작 임재범은 뭐 그리 잘났는데라고 물어보고 싶음 솔직히락한다 어쩐다 정통성을 지키겠다 어쩐다 하다가 발라드 한다 어쩐다 하다가 망해서 사라졌다가 나가수로 다시 떴다가 또 사라지고딱 가슴 펼 만한 앨범 하나 갖고는 있나? 노래는 몇 개 있는 거 아는데 다 발라드지 뭐 노래 잘하는 거로 할 거면 그냥 김범수랑 싸우던가
Owenm,무협초보 장범준도 성시경처럼 오래되었을때도 앨범에 1등 못할텐데
어그로에많관부,LeslieC 원히터라는 표현이 곡이 아니라 엘범이야기 하는거였음 ㅋㅋㅋ 근데 두번 대박냈으니 투앨범히터라고 하는게 맞겠넹
맨오브더매치,어그로에많관부 뜬거 졸라 많음그리고 경제적 자유를 이뤄서 존나게개 졷대로 활동하는데 그 정도
개소,어그로에많관부 닉값
허밋,LeslieC 히트곡은 성시경이 더 많지 않음? 버스커는 크게 터진게 꽤 있는거고
개소,그남자그여자 압살이지
섹보스지스털섹,아티스트로 비교하면 작사작곡을 거의 안하는 성시경보다 장범준이 위라고 생각함. 작사작곡을 안하는데 어케 더 위라고 처줄 수 있는지 모르겠음.
미하일발락,섹보스지스털섹 너의 모든 순간처럼 성시경이 작곡한 노래도 꽤 있음장범준이 위인 거랑 별개로 성시경이 작사 작곡 안 한다는 건 오해임
