ID,comment
원베일리,"쵹쵹한쵹코췹 끝까지 추잡스럽네.쟤한테 달아야할 말을 나한테 달아놨으면 그냥 미안하다 하면 될걸""이상한 소리""  를 ""이해했음"" ??평소에 누가 잘못을 지적하면 핑계 존나 댈거같은 짜증나는 스타일같네.절대 지 잘못 인정 안하는 상종못할 타입.축하한다 니가 내 첫 블라임."
내장지방,쵹쵹한쵹코췹 맞말이긴 한데 잘못 달기도 했다goat를 00년대 10년대 ㅇㅈㄹ하는 건 개웃기긴 하지만 처음 쓴 애한테 다는 게 좀 더 맞겠지
쵹쵹한쵹코췹,내장지방 위에 딴애가 뭐라고 했는지는 안보고 쟤가 먼저 눈에 들어와서 단거임 ㅋㅋ딴애가 먼저 그랬다니 이해했다고 한거고 ㅇㅇ근데 저 병신 지 혼자 화났니 뭐니 하더니 결국 지가 화나서 욕박고 블라튀하는거 ㅈㄴ 웃기넼ㅋㅋㅋㅋ
ㅈㅅㅎ,원베일리 장범준은 20년대가 아니라 10년대지어떻게 장범준 커리어 얘기하는데 20년대를 끌고옴...
2번남도허티,원베일리 ? 장범준은 10년대에 껴야지 ㅋㅋ.벚꽃엔딩은 10년대 대한민국에서 가장 히트곡이라고 할 수있는데
클라우드22,래드키 니가 맞음.  성시경은 고트급인 발라더들은 거론할 것도 없고 김종국도 못이김.
노하라히로시,래드키 이승철 vs 임창정에서는본인들이 못 봤다고 내려치는게 엠팍인데ㅋㅋㅋㅋ
검은질풍뎀벨레,노하라히로시 그거 보고 진짜 병신들인가 함.
기마성호무란,래드키 약간 박지성 맨유시절 안봐서 오히려 고평가되는느낌이네ㅋㅋ
화이트보드,기마성호무란 박지성은 맨유시절 스탯이 구려서 저평가 되는듯
전자공학부,기마성호무란 안봐서 저평가하지않냐 기록만보고. 국대성이랑 챔스에서 가끔나올때 임팩트지렷는데
coyssss,기마성호무란 뭔 반대로 얘기하고 있냐 얘는 ㅋㅋㅋㅋㅋ저평가겠지
싸우면혼난다,"기마성호무란 ??? 오히려 저평가지 말년 부상 도져서 벤치 달군걸로 벤치성 ,버기성 ㅇㅈㄹ하는곳인데"
햄까스,싸우면혼난다 벤치성 버기성한다고 저평가임?그시절에도 벤치성 자빠지성 별거 다 했었음
싸우면혼난다,햄까스 커리어 내내 벤치성이였던 걸로 묘사 하는데 그게 저평가지 합당한 평가임?[댓글이 수정되었습니다: 2022-10-11 10:39:37]
김해코스트코,래드키 걍 감스트 제너럴90 같은거임
비비디디,래드키 나이대 좀 있는 사람들한테 성시경은 음악성이나 가창력보다는 여자들한테 유독 인기 많은 가수 정도로 기억될 가능성이 있지솔직히 그 시절에 날고긴다하는 발라더들 시경이 형말고도 수두룩 빽빽이라ㅋㅋㅋㅋㅋ그리고 오히려 장범준이 약간 독보적인 부분이 있어서 나름 고평가 가능함
니나니노,래드키 막말로 성시경 대표곡 뭐냐고 물어보면 모르는 애들이 태반일 듯. 89년생 내 기준으로도 장범준이 앞선다고 봄
카스토르,"래드키 진짜 본문 짤방에서 언급했듯이 이승철 vs 임창정이랑 비슷함.. 이승철, 성시경 쪽이 뭔가 아티스트, 대가 이미지가 있는데 정작 작사 작곡은 임창정, 장범준이 더 많고 차트 순위 같은 기록도 더 좋음.. 이승철 전성기 때 경험한 사람은 냉정하게 평가하는데 그냥 풍문으로 들은 사람이 이승철을 엄청난 대가인 줄 아는 것도 비슷.."
탐색기,래드키 성시경 이전에 발라드 가수 계보가 있음성시경은 거기에 끼는 사람인거고장범준은 포크와 싱어송라이터 부문에서 독보적임가창력 자체는 성시경이 앞서지만벚꽃엔딩과 여수밤바다 두 곡만으로도 엥간한 가수들 이길 수 있음
Kaka#22.,비정상인 성시경이 요즘 유투브로 잘나가서 근데 이건 비교할거리도 안될정도로 성시경 압승일텐데 애초에 성시경은 정규 앨범만 8개임
디레스터,Kaka#22. 유투브랑 가수위상이랑 도대체 뭔 상관관계가 있다는거그리고 앨범 많이 내면 우위인가?성공한 음원 노래가 장범준이 우위인데
Kaka#22.,디레스터 둘은 콘서트장 규모부터 다름 관객 동원력부터 다르다는건데;
마포구청장,Kaka#22. 콘서트는 단순 팬덤크기 비교자너관객동원력 얘기하는데 음원성적이 더 대중성을 뜻하는 지표 아닐까싶음단순히 노래로만 돈번걸로치면 난 장범준이 한참더 벌었을거 같은데
개푸러,Kaka#22. 잉 장범준도 버스커 합치면 정규만 5개임 유투브로 따져도 장범준도 구독자가 100만 가까이 됨 심지어 유툽에서는 음악관련 콘텐츠만 함
제발한국인은맹구,"Kaka#22. 음색이 독보적일뿐 그정도 음악성 가진 발라더는 널리고 널렸음. 반면 포크에서 장범준 정도 음악성을 지닌 사람은 오버에선 없음. 애초에 비교불가, 장범준이 넘사임"
김해코스트코,"비정상인 먹을텐데, 마녀사냥 미디어 노출 많이되고 인기많아서 그런거지오히려 장이 결혼하고 음악만하면서 조용히살고"
BEST 에펨트리,비정상인 전성기를 모르니깐 대충 들은 이야기 + 예능등에서 본 이미지로 가수를 평가함전성기로보면 당시에도 동시대 발라드 가수한테도 밀리던게 성시경이었는데
[Felix],가수로보면 당연히 성시경이지 않나 ㅋㅋ 체급차이 많이나는거 같은데..   틀이라 그런가?   근데 생각해보면 엄청 터진 역대급 노래는 없는거 같기도하고?
강팀안티팬,[Felix] 보컬실력으로만보면 압도적으로 성시경인데 가수로보면 장범준
앙기모띠주는,[Felix] 체급은 차이가 많이나긴 하네요
BEST 라울과알레,솔직히 아까 성시경이 많아서 놀랬음장범준이 그렇게 저평가될 가수는 아닌데 ㅋㅋㅋ
에펨트리,라울과알레 성시경이 한국 발라드 GOAT이라는 애들도 많던데 ㅋㅋㅋㅋ
influxDB,에펨트리 발라드 GOAT은 개인적으로 신승훈 아닐까 싶음
니나니노,influxDB 이승철
cvMax,니나니노 신승훈임
하나만더,cvMax 발라드는 닥 신승훈이지신승훈 90년대 초중반 서태지와아이들 듀스 룰라 이런 레전드 댄스 그룹들이랑 비비면서 가요톱텐 골든컵 먹었던 사람인데
Kendrick,influxDB 발라드는 유재하...
싸우면혼난다,"Kendrick 유재하,김광석 이분들을 직접 경험한 세대가 아니라 모르지만 논외의 느낌을 주는 발라더? 작곡가들 같음"
크래프톤가자잇,influxDB 30살인데 신승훈 노래 많이 모름... 나보다 나이 적으면 더 심할건데 GOAT는 좀
눈군,크래프톤가자잇 나도 30중반인데 아까 댓글에 변진섭 이문세까지 나와서 진짜 깜짝 놀람 ㅋㅋㅋ 성시경 세대면 신승훈 테이프 뒤집어 듣는 세대 다음 세대인데.. 심지어 변진섭은 청바지가 잘어울리는 여자 이 부분 빼고 아는 사람도 별로 없을텐데
내장지방,눈군 변진섭 90년인가 89년에 공식집계만 280만장 팔았음그냥 기록이 워낙 개쩔어서 발라드계 최고의 고점이 변진섭이란 건 누구도 부정 못함 신승훈은 100만장 쑥쑥 팔리던 시대에 그렇게 팔던 거고 변진섭은 혼자서 갑자기 튀어나와서 그렇게 팔았던 거임80년대 후반 주현미가 최고의 가수다 가요계 여왕이다 할 때 주현미 공식판매량이 절대 100만장 안 됐음 싸구려 리어카까지 다 동원해서 몇백만장 팔았을 것이다 그리고 그만큼 전국민적인 인기가 최고였다는 건데 변진섭은 공식으로만 그 때 280만장 때려박은 건 말이 안 되는 기록임
눈군,크래프톤가자잇 그냥 예측인데 성시경 깔려고 아는 레전드들 죄다 끌고 나온 거 같음. 그래서 나이 대 예측 아예 안되는 걸 보면  아마 성시경 세대는 아닌거 같다 생각했음.
오펜하이머무새,눈군 sbs아카이브k 발라드편에서발라더 계보쫙나열하고 소개한 프로그램 있었음그거봐서 다들그런듯
눈군,"오펜하이머무새 아 역시 그런 게 있었고만,, 어쩐지 성시경 얘기하는데 조성모 김종국 임창정 까지는 맞지 걔네도 있지 했는데 갑자기 신승훈? 거기에 변진섭?? 거기에 이문세??? 지금 유튭에 7080 발라드 치면 나오는게 변진섭 이문세 인데 갑자기 성시경 글에다가 집어넣고 있길래 내 눈이 잘못된 줄 알았음.. 뭔가 세대가 뒤죽박죽 겁나 안 맞는다 했는데 그냥 읊은 거 였나보네."
오펜하이머무새,눈군 유튜브에 발라더계보 만쳐도영상이~다른글에선 이민우댓글까지 있었음...
Kendrick,눈군 보통 goat라고 일컫는 장르 최고의 가수를 뽑을때는 자신이 보고 자란 세대만 꼽는게 아니니까요농구나 야구나 축구에서 조던 루스 펠레를 직접 보지 않고 goat로 논하는 사람이 많으니한국 발라드계는 유재하 이문세 김현식 등등을 최고로 꼽는 경우가 많은걸로 기억개인적으론 한국 발라드는 유재하의 그늘에서 벗어난적이 없다고 생각합니다
눈군,"Kendrick 유재하 이문세 김현식을 듣고 자란 세대가 제 나이대 학생들 사이에서 성시경 입지를 평가하기는 어려울거 같은데요? 전 성시경이 goat라고 말은 안 하지만, 보통 성시경이 goat라고 말하는 세대의 사람들은 발라드=성시경 라고 많이 언급하는 80 초반 ~ 80후반, 많이 봐서 90년대 초반 세대에요. 그 외에 신승훈이나 이승환을 언급하면 안 되는 이유는 위 댓글에 써있고요.. 학창시절에 들어본 적이 없는 세대에요. 마찬가지로 학창시절을 얼마 전에 지나왔던 장범준 세대가 장범준을 goat로 뽑으면 그냥 그런가보다 하죠. 왜냐면 그 사람들 추억에 가장 큰 각인이 있는 가수가 장범준이니까요."
Kendrick,눈군 듣고 자란 세대가 중요한게 아니라는 댓글인데 이해를 못 하신건가....
눈군,"Kendrick 대상 갯수로 하시는건가요, 대중평가를 얘기하시는 건가요, 인지도를 말하시는건가요 가창력을 말하시는 건가요?  누가 가수 goat 정의를 딱 내려준 게 아니었으니까 그냥 세대마다 자기 세대의 goat가 있다고 얘기하는 건데 이해를 못하시네요. 여기서 또 그런 말로 자극 하시려는건가 본데, 그냥 그럼 님이 보시던 그 계보가 중요하다고 생각하고 지나가세요 그럼.."
Kendrick,눈군 계보가 아닌 그 장르에 있어 가수가 끼친 성취를 따지는겁니다평가 기준에 따라 bts 임영웅 등 인기 많고 잘 팔리는 가수가 최고라 할 수 있지만 통상 어떠한 장르의 최고 가수를 논할때는 앨범과 그 장르에서의 입지를 생각하여 평가하죠그냥 이해를 못 하시는것 같으니 여기까지만 달겠습니다
눈군,Kendrick 아 예 님 말이 맞습니다ㅋㅋ
제발한국인은맹구,눈군 무슨 소리야..GOAT가 각자마다 다르다니..그럴거면 이 논쟁이 벌어지지도 않았죠..그리고 제가 잘 이해했는지 모르겠는데 신승훈은 발라드 계보에 들어갑니다이승철이 안들어갖ᆢㄷ
눈군,"제발한국인은맹구 먼저 저는 이승철 얘기 안했습니다. 이승환입니다. 그리고 신승훈이 발라드 계보에 없다는 얘기도 한 적 없습니다. 제 세대에 발라드 스타의 이미지가 아니라고 했을 뿐이고요. 제 세대에서 신승훈 그러면 이미 한물 간 가수 느낌이었습니다. 아니라고 반박하시면 할 말 없고요. 전 개인적으로 성시경이 신승훈, 이승환 같은 발라드 라인이라 생각하고요제가 말하는건 개인이 판단한게 기준이라고 한 말이 아니고요, 최고의 기준을 누가 어떻게 세울 수가 없는데 자꾸 무슨 기준이 있는 것 처럼 얘기하니까 그렇죠바로 아래 댓글만 해도 신승훈은 goat 맞다고 하는 기준이 앨범 판매량이고, 누구는 멜론으로 따지고 있고 지금 기준 말하는 사람은 가수가 끼친 성과/성취라는데 그 장르 입지라는 말이 도대체 어떤 기준으로 누가 정해주냐 하는 거죠. 저는 그 시점에 학창시절을 겪은 사람들이 그 당시 분위기를 정확히 안다고 하는거에요 goat를 말한게 아니니까 수정했습니다제 세대 에서 발라드 하면 성시경이라는 이미지가 있던게 사실이라고 말했고 제가 딱히 뭘 주장한게 아니라 다른 세대가 제 학창시절의 세대가 바라보던 성시경 입지를 전부 이해할 수 없다고 말한거고요[댓글이 수정되었습니다: 2022-10-11 05:47:14]"
눈군,"제발한국인은맹구 그리고 애시당초 제 글에서는 성시경이 goat라고 말한 게 아니라고 밝혔어요. 잘 봐요. 제 글은 성시경이 goat라고 말하는 세대가 왜 그렇게 말했는지 설명해준 거고, 그 사람들 입장에서는 그냥 성시경 = 발라드 였으니까 그렇게 말한거다. 라고 말한건데 무슨 장르의 입지니 최고가수를 논한다니 이해를 못한다니. 전 그런 얘기를 한 적이 없어요. 최고는 누가 뽑히던 상관 안 하는데 성시경이 발라드 가수로써 그 세대가 아닌 사람들이 그 세대가 최고라고 평가하는 데에 무슨 공인된 특별한 기준도 아니고 갑자기 끌고 오는 게 이문세 변진섭 이니까 웃기다고 한거고요. 만약 조성모 김종국 임창정 나얼 얘기 하시는거면 아, 그렇지. 라고 할 거라고 이미 위에서 밝혔고요. 근데 그게 결국 그 세대 입장 아니에요?누가 댓글로 아 성시경이 이 분야 킹이지. 라고 자기 생각말했더니 갑자기 가왕 조용필 튀어나오고 비틀즈 튀어나오면성시경 세대는 몇번 듣지도 못한 가수들 튀어나오면 웃기다고 생각 안 하시겠어요?"
제발한국인은맹구,"눈군 그럼 논쟁 자체가 무의미하단 입장이시군요. 자세히 설명하시니 무슨 말인지 이해했습니다.그럼에도 수많은 사람들은 기준을 정하고 평가하는 건 필요하죠.보통 그 기준이라 함은 단순히 노래를 잘해서도 아니고, 대중적이기만 해서도 아니고, 작품성과 음악성을 종합해서 해당 시대의 위치를 차지하고 있을때 계보를 잇는다고 하는것같아요말 그대로 이 시대는 누구의 시대였지라는 얘기가 나올 가수들이요.변진섭 이문세 신승훈 임창정 조성모 성시경 박효신 이렇게 이어지는 듯이승철과 이승환은 록발라드라 방계의 느낌이고, 이승철은 곡을 쓰지 않기 때문에 가볍다고 평가되구요"
뉴돼지맨,크래프톤가자잇 신승훈은 발라드 고트 맞음 앨범판매량부터 적당히 기백만장 수준이 아니고 천만장이 넘어감 걍 조용필 서태지 김건모 이미자 등과 함께 대중가수 톱10에도 무조건 들어감
influxDB,크래프톤가자잇 니가 노래 아냐 모르냐로 기준 잡으면GOAT 없음
크래프톤가자잇,influxDB 30살 이전세대는 신승훈노래 잘모른다고 확신할수있음..
화이트보드,에펨트리 뻥안까고 그거 캡처하고 타사이트 순회공연다니면 펨코수준이라고 조리돌림 당함
싸우면혼난다,에펨트리 좋아요 천개가량 찍혔던데
원웨이브,라울과알레 과장 좀 보태서 90년대 후반생인 나에겐 장범준이 우리세대의 김광석임
저교치기,원웨이브 과장보태서가아니라 걍 우리세대 김광석이 장범준 맞음 지금 20 30대 남자들 장범준 노래들으면서 감정이입 안된사람 단 한명도 없다고 자부함
애교자판기꽃케이,저교치기 첫사랑 들으며 맘아파본사람 없으면 돌을 던지라!
싸우면혼난다,원웨이브 ㅇㅈ
인천방개,라울과알레 성시경 많은건 둘째치고 장범준이랑 비교하는거 자체가 말이 안된다는 사람들 많았던게 의외였음
[전문가],라울과알레 노래실력을 대결하는거? 아니면 히트곡 누가 많냐의 대결? 기준이 뭐냐? 성시경이랑 장범준 붙여놓고 투기장 여는게 이상하네
저교치기,[전문가] 전체적으로지
9.3.0521,[전문가] 노래실력도 히트곡 숫자도 성시경이 위인데제일 히트한 곡이 장범준이 위인거지
싸우면혼난다,9.3.0521 히트곡 기준을 뭐로 잡아도 장범준이 우위 같은데 당장 버스커버스커 시절때만으로 잡아도 그렇고
케논,9.3.0521 히트곡수는 장범준이 훨씬더많음.의외로 가요계 황금기시절에 성시경 차트 1등 별로못해봄
9.3.0521,라울과알레 성시경이 위라고 장범준 저평가 소리 나오는게 웃긴데
호나나나나나,라울과알레 장범준 저평가가 아니라 성시경을 이긴다 하니까 어이가 없지
테재앙의승점공장,라울과알레 장범준이 가수 goat는 아닌데 벚꽃엔딩 버스커버스커 1집은 한국 대중음반계 goat 반열이지
케논,라울과알레 성시경한테 진다고 저평가는아님.. 사실 메시냐 펠레냐 수준이자너
델카이저,[삭제된 댓글입니다.]
에펨자료받으러,델카이저 멜론하트로 따지기엔 활발하게 활동한년도가다름아예 비교삼을만한 지표자체가 안되지수많은 옛날명곡들 << 벚꽃엔딩은 아니니까
델카이저,에펨자료받으러 너의모든순간보다 벚꽃엔딩이 먼저나왔는데
에펨자료받으러,델카이저 전체적인걸보라는말이지 무슨..성시경 대표곡이 너의모든순간임? 물론 성시경 노래중에 벚꽃엔딩넘는건없지 그건맞는데 멜론하트를 지표로는 못쓴다는말
델카이저,에펨자료받으러 [삭제된 댓글입니다.]
에펨자료받으러,델카이저 성시경 젤 인기있는곡이 너의모든날이라고?ㅋㅋㅋ그것도 멜론하트기준이냐? 연령대가 어캐되누 무조건 희재 거리에서 둘중하나지 뭔소리임
C3PO,에펨자료받으러 희재는 아님. 거리에서겠지. 희재는 나왔을때 묻혔다가 롱런하면서 뜬거임
MP5,에펨자료받으러 거리에서도 제법 떴지만 벚꽃엔딩에는 못 비빔
에펨자료받으러,MP5 ㅇㅇ당연
티아고메시,델카이저 거리에서 희재 너의모든순간 내가너의곁에잠시살았다는걸 내게오는길 넌감동이었어 두사람 좋을텐데 차마 안녕 나의 사랑 너는나의봄이다 그대네요등등 아직까지도 회자되는 노래가 많은데젤 인기 있었던 곡만 따지는 건 이유를 모르겠넹
델카이저,티아고메시 말빨이 딸려서 설명을 잘못하겠는데 장범준만큼성시경이  00년대 평정한곡은 없다고생각해서 장범준이 낫다고생각함
티아고메시,델카이저 뭐 각자 기준이 있는 거니까
가고시마,티아고메시 내가너의곁에잠시살았다는걸 은 김연우가부른거아님?
주크박스,가고시마 성시경이 리메이크 하긴 함
디레스터,주크박스 니가 댄 노래 중에서거리에서 말고는 아직까지 회자되는 노래도 아니다그리고 벚꽃엔딩에 비하면 인기 있는 곡도 아니고
애교자판기꽃케이,디레스터 희재 내게오는길 좋을텐데 넌 감동이었어 정도는 그리 무시받을곡은 아님벚꽃엔딩이 너무 넘사긴 하지만
애교자판기꽃케이,"티아고메시 약간 올타임 레전드 느낌인듯 나도 성시경쪽에 기울긴해도 벚꽃엔딩, 흔들리는꽃들~  이 두곡이 너무 쎄서 비빌곡이 생각 안나긴함이문세 붉은노을 김광석 사랑했지만  정도 가져와야할정도로 상징적이라..."
참치비빔,티아고메시 내가너의곁에잠시살았다는걸은 김연우(토이)
씨크릿츠,존나 유치하네 ㅋㅋ
퍼틸레인,성시경 거리에서 말고는 잘 모르겠음
반지하출신의간지,퍼틸레인 노래개좋다 한번 돌려봐
BEST 무협초보,성시경 마지막 앨범 히트곡이 언제냐? 작년에 앨범 새로 냈다가 그냥 소리소문없이 묻혔고 롱런한다는것도 예전 노래빨에 연예인으로 롱런하는거지 가수로 롱런하는게 아닌데장범준 당장 앨범낸다면 일단 무조건 실시간 최상위는 다 들어갈걸?가수로 보면 고점으로 상대도 안되고 롱런으로도 엄청 차이나는것도 아님 장범준은 현재 진행형이니까
에펨트리,무협초보 작년 정규 8집냈는데 초동 1만장으로 그냥 망함
물맛이좋아요,에펨트리 그 만장 중에 하나 와이프가 샀다
티아고메시,무협초보 전성기가 20년 전이었던 가수랑 지금이 전성기인 가수랑 요즘 활동 비교하는 게 맞낭ㅋㅋ물론 장범준이 진짜 뛰어난 가수인 건 맞는데 기준이 좀ㅋㅋ
김해코스트코,티아고메시 오히려 장범준이 결혼하고 내려놓고 음악만 하는데 사람들이 계속 찾는거임잠이 오질 않네요도 걍 팬서비스 곡이었는데 대박난거미디어에 노출되는건 성시경이고
티아고메시,김해코스트코 난 음악적 전성기로 말하는 거지
내장지방,티아고메시 전성기로 말하면 장범준이 성시경 개패지 ㅋㅋㅋ성시경은 예능활동도 활발한데 절대 버스커 1집만큼 한 적이 없음 거리에서? 딱 그거만 버스커 1집에 비빌까 말까 한 정도지
박정규,"김해코스트코 팬서비스곡, 진지빠는곡 따로있음?"
무협초보,티아고메시 아니 글을 못읽냐 성시경은 예전에 그 전성기가 끝났다는거고 장범준은 지속중이라말을 한거자나 내가 최근 앨범 더 팔았으니 장범준 윈이랬냐 그 가수 롱런도르도 장범준이 전성기가 끝나봐야 비교가능하다는거지
화이트보드,무협초보 당장 장범준이 원히트원더 어쩌고했지만 버스커버스커 1집은 음반자체가 명반이였고 3집까지도 성적 괜찮았음  개인  앨범도 계속 내고 최근 ost 흔꽃삼으로도 선방하고 그냥 팬서비스음악이 잠이오질않네요도 많이들 듣고있는데뭔 히트곡이 적네  원히트원더네 하는지 모르겠음
한섬닷컴,화이트보드 원히트 원더는 앨범 100만장급 말하는거
가면찾는BOT,무협초보 성시경 데뷔년도나 보고와서 이런말해라 ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
무협초보,가면찾는BOT 그 데뷔년도 기준으로 성시경은 정성기가 예전에 끝났고 장범준은 현재진행형이라고
가면찾는BOT,무협초보 그니까 데뷔 22년된 가수한테 앨범 내면 묻힌다 이런소리가 웃긴거라고 장범준 22년차에 차트 성적좋으면 ㅇㅈ함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
무협초보,가면찾는BOT 롱런도르하면서 아직도 잘나가는거마냥 얘기하니까 하는 소리아냐
가면찾는BOT,무협초보 장범준이 22년후에 성시경처럼 활동할수있으면 ㅇㅈ함 지금도 콘서트하면 매진되는 가수중 한명임 이정도면 롱런임
무협초보,가면찾는BOT 그니까 예전 히트곡으로 먹고사는가수라고 했자나 누가 뭐래 가수로써 현재진행형 전성기가 아니라고 말귀 디게 못알아듣네
가면찾는BOT,무협초보 데뷔 한지 22년이 됐는데 당연히 전성기가 아니지 니가 앨범내면 묻힌다는 소리자체가 개소리라고 22년차에 차트1위하는 가수가 얼마나 된다고 가수가 현역으로 10000석 넘는 콘서트 꾸준히 매진시키는것 만으로도 롱런하는거라고
무협초보,가면찾는BOT 그럼 에쵸티 잭키도 롱런이고 남진도 롱런이냐 뭔 말같지도 않은소리 하고있어
가면찾는BOT,무협초보 애쵸티는 애초에 해체되고 활동을 안하는거고 남진은 당연히 롱런이지 꾸준히 팬덤도 많고 계속 활동하면서 콘서트도 하는데 너빼고 전부 남진 롱런이라고 생각할듯
무협초보,가면찾는BOT 그래 너는 그렇게 생각해라 내 기준으로는 대중한테 어필하는 노래를 더 이상 내지못하는 가수는 적어도 대중가수로서의 커리어는 끝났다고 본다.
가면찾는BOT,무협초보 당장 17년도에 음원차트 1위찍음 단순 비교로 장범준이 2030년에 노래내서 음원차트 1위찍는거임 그리고 2035년에 콘서트 만석 매진시키는거 장범준은 롱런은 무슨 당장 커리어 이어가는것만으로도 감사해야할듯 성시경한테 롱런못했다고 하는 소리는 장범준이 2035년에 음원차트 성적 안좋다고 롱런못하네 이러는꼴 한마디로 개병신소리임
뒤앙민크,무협초보 남진은 롱런이 맞지 왜 아님? 아니라고 생각하는 이유좀..
가면찾는BOT,뒤앙민크 저 병신은 2-30년 뒤에도 음원차트 1등찍어야 롱런이라고 생각하나봄 저세키 논리면 롱런하는 가수 이세상이 없음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
무협초보,뒤앙민크 새히트곡없이 계속 활동하는게 커리어 롱런이라치면 그냥 먼저 시작한가수가 대부분 롱런으로 압살이라 비교자체를 할수가없음. 예를들어 성시경은 짧은 전성기라는 조성모한테 롱런으로 발리고 소녀시대는 천상지희멤버한테 롱런으로 발림 애초에 말이안되지 저런 기준은. 전성기가 얼마나 오래 지속되었냐가 롱런이지. 성시경은 롱런한거 맞음 지금이 아니란거지.
에오를,무협초보 소리소문없이 묻혔다? 그정돈 아닌데. 잘 알지 못하는 거 같은데 꽤 단정적으로 말하는 태도는 많은 사람을 불쾌하게 함
무협초보,에오를 솔직히 저 정도로 잘 안된걸 소리소문 없이 묻혔다는 표현 못쓰면 아무대도 못쓰지.
04김지훈,무협초보 맞음 ㅋㅌㅋ 그냥 묻혔음
뮐러를발롱으로,무협초보 성시경 아직도 앨범내는거 이 댓글 아니면 평생 몰랐을듯
courteou,무협초보 히트곡으로만 따지면 장범준 >>> 임재범인데 가수들 100 명 모아두고 임재범과 장범준 중에 누가 더 뛰어난 가수냐고 물어보면 100 명 중에 90 명은 임재범 뽑는다에 손모가지 검 ㅋㅋㅋㅋㅋㅋ
무협초보,courteou 이걸 임재범을 가져오면 성시경이 더 초라해지는거야 니 말대로 임재범 장범준하면 임재범 손 많이들어주겠지 왜? 임재범은 가창력 goat로 거론되는 가수니까 근데 성시경은 비슷한 나이대 다른 남자가수랑 비교우위조차 힘들자나 김나박이 이런가수들보다 성시경이 확실히 가창력 위라고 할수있음? 제일 장점인 부분이 탑이 아닌데 이걸 임재범을가져오냐
courteou,무협초보 처음엔 히트곡이랑 앨범 줄세우기로 비교하면서 장범준이 위라더니 갑자기 가창력도르 나온다고?? ㅋㅋㅋㅋㅋㅋㅋ 장범준충들 존나 추하네 ;;;;
