ID,comments
khanhyo,"로제박은빈카리나 그런식이면 남자 아이돌 스트리밍 기록들 넘사로 나오는것고 그걸로 입증할 수 있을 듯 앨범 판매량이라던지 그것도 니가 판단하는 기준인거잖아그렇게 따지면 콘서트 관객수 기준이라던지 대중적으로 더 알려진 유명세가 입증함물론 누구를 더 좋아하냐난 취향 차이긴 함니가 듣기에는 명곡일지 모르지만 벚꽃, 여수 빼고는 대다수 모르는게 더 많음"
개소,khanhyo 개소리 좀 하지마; 노래도 좀 듣고 살고벚꽃 여수 말고 모른다니 뭔 개소리를 하고있어 ㅋㅋㅋㅋㅋㅋㅋ 뭔 남자 아이돌 타령이여
로제박은빈카리나,"로제박은빈카리나 아니 ㅋㅋ;; 대다수 모르는게 많다는건 님 생각이구요장범준은 남자아이돌처럼 팬들 스트리밍 공세로 만든 차트가 아니라 그냥 순수 대중성임.. 누가 장범준을 차트인 시키려고 스트리밍 공세를 함;;노래방에서, 잠이 오질 않네요, 흔꽃샴 등등 안들어봤으면 그냥 대중 가요를 안 듣는거지그리고 블라는 왜하는거야 병신인가.. 지가 벚꽃엔딩만 안다고 다 그런줄 아네 ㅋㅋ"
Fkdkd,그냥 감성도르 제외하고 십년차때 비교하면 됨 수상실적 고점 영향력 롱런곡 등등 장범준은 빅뱅 슈퍼주니어 씨스타 싸이 조용필 지디 엑소 뚫고 대상 탄 가수
노력하는쓰레기,걍 취향이지 우위가어딧냐 시발 ㅋㅋ난 장범준
한국고대사,솔직히 매년 봄마다 역주행 찍는 곡 있는 것부터가 장범준이 우위 아닌가...한국차트 역사상 정기적으로 역주행하는 곡 있나?
이게야스란다,가수 평가요소에 가창력은 왜 빼는 지 모르겠음ㅋㅋ작사작곡만 볼거면 작곡가해야지애초에 장범준은 다른사람한테 곡을 못 받음자기한테 맞춰서 노래를 기가맥히게 만드는거지
노하라히로시,지프는지프 와.... 이건 유재하가..... 장범준도 손사래칠듯
RKO,노하라히로시 장범준: 뭐야 나 왜죽여요
본전회복하자,내기준 범준이
화이트보드,RKO OST 임팩트로 따지면 그건 또 비슷한 시기 백지영이 압승이라되려 시청률 1%대 OST인데도 노래만으로 차트인한 장범준 눈꽃삼이 더 대단;;;
RKO,사람이름이엄 장범준은 그냥 장범준이라는 장르를 하나 만들어낸거같음
인터밀란,난 무조건 장범준이라 생각했는데 장범준 히트곡이 몇개야
RKO,두!두!다!다 솔직히 벚꽃엔딩 하나로 압살 아니냐그냥 봄 = 벚꽃엔딩 공식을 만들어버렸는데 ㅋㅋ 요새야 시들하긴 하지만 여전히 봄되면 여기저기서 들림
bslbsl,하우HOW 장범준 라이브랑 앨범 차이보면 음...
포짐이,"장범준은 벚꽃엔딩, 여수밤바다, 흔꽃샴 이세개로 그냥 현세대에서는 음악성으로는 압도적인거같은데"
hoser3,냉정하게 장범준이 승이긴 하지
Apink오하영,이거 아까 듣자마자 성 했었는데 곱씹어볼수록 장범준 대단하네
김해코스트코,HM7 노래방도르 장범준 흔꽃샴이 1위였을건데
양발잽이카솔라,장범준이지
라이징패스트볼,난장범준
브엉저낭,학위좀주세요제발 내는노래마다 잘되는가수 진짜 몇없고 그중에 장범준이 있는데 ㄹㅇㅋㅋ
이게야스란다,학위좀주세요제발 가창력은 스킬의 영역이지그렇다해서 장범준이 노래를 못한다고 생각안함가수답게 노래 잘부름ㅇㅇ
어쩔사과,삼성이성규 장범준은 자기가 작곡하는데 ㅋㅋ
크키노스,장범준 작곡이 넘사벽이라 종합 점수로 더 높게 평가 받아야되는게 맞다고 생각하긴함. 가창력이랑은 별개로.
파란코피,장범준 2집때 성남에서 공연 본적있는데. 진짜 노래잘하더라..장범준 노래를 들으면 이야기 같은게 연상되는게 진짜 큰 힘인거 같음
피파망겜,장범준은 작곡하잖아걍 비교 자체가 안되는데
주린이어요,장범준은 지역 경제를 살렸음;;
한섬닷컴,할인정보추 막걸리나 여수밤바다 꽃송이가 벚꽂엔딩만 히트했지 나머지는 비교도 안되는구만
할인정보추,한섬닷컴 ???노래방에서 흔꽃샴 처음엔 사랑이란게 등등 이게 비교가 안된다고? ㅋㅋㅋㅋ
디레스터,한섬닷컴 저기서 히트곡이라고 불릴곡은 절반도 안된다선인장 한번더 이별?이딴건 버스커 1집 앨범 수록곡으로도 밟아
미하일발락,한섬닷컴 니가 넣은 게 히트곡이면 장범준 발표곡은 대부분 히트곡임
단뇸이,장범준 승인듯
나라가왜이래,나도 장범준
김해코스트코,firstaid 히트곡 수도 장범준임줄세우기도하고 히트곡 존나많음
어쩔사과,firstaid 곡수도 장범준임
자시안,순돌스 보컬 능력은 일반인들도 장범준 터는 사람 많을걸
아이스베어1,난 장범준 순전히 내가 노래들은 횟수만 생각해도 장범준 노래가 2배는 될듯
나락빔,장범준은 천재임ㅇㅇ
레아오,Lloyds 히트곡도 장범준이 못지 않은거같은데
Muro,Lloyds 히트곡은 장범준이 압도적으로많음
고북2,dksmdjs 아마 취향타서 그런듯 장범준노래는 그런류 잘안듣는 사람은 아예 안듣더라 다 비슷해서
더블치즈치즈,dksmdjs 여수 먹여 살린 인간을 어찌 저평가를 ㄷㄷㄷ
대충그냥,그냥 장범준 노래 뽑는 실력이 미쳤음 난 엥간한 노래 다 좋더라
브엉저낭,학위좀주세요제발 나도 대충 이게 맞는거같긴한데 노래 잘하는가수는 진짜많음 근데 장범준같은롤은 거의없어서 장범준 승 줄듯
광안대교,근데 한국대중음반 100선에 최근에도 버스커 1집이 안꼽히는데 진짜 대중음악이라고 할 수 있는거냐?
강구zl,"광안대교 여수밤바다, 벛꽃엔딩 -끝-"
문호준,시대가 지나면 장범준은 엄청 고평가받을 사람임
대개장쓰,장범준이 진심모드로 계속 작곡했으면 진짜 슈퍼스타 가능인데 결혼한 뒤로는 그냥 즐기면서 사는듯
1년만에돌아온,"장범준은 시대의 아이콘임 그 특유의 작곡작사 능력, 창법, 감성은 그 누구도 대체 못하는 그러니까 벚꽃엔딩부터 지금까지 사랑받는거지"
브엉저낭,내삶의반다이크 그 오버롤이 작곡 이런거 다 포함인거같은데?? 그럼 장범준 승이지
개소,내삶의반다이크 히트곡 수도 장범준이다 올려치기하지마라
브엉저낭,O.Skipp 이렇게따지몀 장범준도 가창력 제로 아님
선사해,벚꽃엔딩 넘을수 있나
우리동네팩력배,선사해 벚꽃엔딩 넘을 수 있는 곡은 가요계 통틀어도 몇 개 없을걸?
