ID,comments
(덜렁거리며),본인이 더 체감한 가수가 본인에게 더 높게 평가 되는거라 생각함.난 둘 다 별로 체감하지 못했었는데 그나마 더 젊었어서 노래 들었던게 성시경의 노래를 많이 들어서 그런가 성시경.
(부득이하게),"성시경, 박효신 넘었나?"
쿤디판다,발라드 goat 성시경이라는 댓글은 진짜 개소리임. 발라드 goat는 이문세지 ㅅㅂ
나카모리아키나,쿤디판다 아니 솔직히 성시경은 박효신이랑도 힘들어 보이는데;;
캐뻘줌,성시경 노래는 좋은데 사람은 싸가지 없어서 별로임
고북2,난 성시경특유의 감성이좋아
siea,걍 닥 성시경 아님?
아임닭,성시경이 콘서트티켓파워력 훨씬 더 쎌텐데ㅋㅋ
김금자,난 성시경이 더 좋드라 저번에 그거 뭐냐 딩고 나왔을떄 엄청 들었음ㅋㅋㅋ
삼성이성규,내가 작곡가면 성시경한테 곡주고싶긴할듯
라마라마라마,이건 닥치고 성시경이지 이걸 왜 고민하나 목소리 하나로 끝 아님?
한섬닷컴,성시경이 더 낫지 히트곡 수 비교도 안되는구만
브엉저낭,진짜 보니까 성시경이 확실히 활동시기보다 지나서 재평가 받는게 있긴해
코인은돈복사,난 성시경 노래 좋아~
가끔이러다,난 성시경
라우브,먹을텐데 성식영 승
하입쿠키,근데 성시경은 전성기에 남자들한테 비호감으로 찍혀서 저평가 받은 감도 있음
쿠루루쿠루루쿠,강구zl 그게 정말 힘든 거임 발라드 가수 중에 성시경처럼 20년 가까이 롱런한 가수가 손에 꼽음
개푸러,오르니틴 사실 성시경도 인터넷 오디션 가요제 출신임 싼마이로 치면 성시경이 더 싼마이임ㅋㅋㅋ
음밥페내놔,개인적으로는 성시경내 최애곡이 희재이기도 하고…
현대천문학개론,노래 실력은 성시경
오펜하이머무새,저 시대때 성시경 좋아하는사람이 없었음애정만세 하면서 버터왕자 캐릭터 얻고 남초에선 싫어하는쪽이 많았음 걍 이미지가 재수없는 발라더였음
Kokekeke,성시경은 요즘 노래 안하고 술 많이 드시는 분 아니었나
녹차먹은돼지,틀딱 남자들이 성시경 느끼하다고 많이들 싫어했지 ㅋㅋ 여자들은 반대로 엄청 좋아했고
O.Skipp,레아오 가창 능력에서 성시경이 넘사벽인것도 맞지 솔직히
사류하,동탕 지금 성시경 원탑 아닌데?
동탕,사류하 지금도 원탑 맞는데? 후발 주자 아직 대성한 사람 있음? 니 말대로 그 계보에 성시경 다음으로 누가 오름?
무슨,ZUTOMAYO 정보) 너는나의봄이다의 작곡가는 성시경이다
지국천왕,누가 우위인진 모르겠고 둘 다 안 듣다가 성시경 노래는 요새 듣는 중
Durex,성시경은 10cm랑 붙어도 10cm가 이기는데
황족첼붕이,긴매 나도 성시경이더 취향이라 ㅋㅋ
코코펨한펨착,개인적으로 성발라 노래 더 많이 들어서 성시경
magik,난 성시경 학창시절에 진짜 많이 들어서 성시경
수정펀치,성시경은 김동률한테도 밀림
내삶의반다이크,로제박은빈카리나 ???? 성시경의 데뷔때부터 발라드 계보 잇는 가수였음.메가 히트곡은 없었지만 나 초딩때부터 성시경 알았고 꾸준히 앨범냈는데. 거리에서 거의 준 메가히트 치고 그당시 탑은 아니여도 20년동안 발라드 가수 하면 탑 5에 꾸준히 들었는데 그걸 뻥튀기라고 한다고? 어렸을때 박효신 소몰이 파라 성시경 안좋아했는데도 그당시 인기 겁나 많았음 특히 여자들한테
빛쵸비,goroshi 성시경 전성기떄 ㅈ도 없었는데 뭔 ㅋㅋㅋ
으라챠,음밥페내놔 성시경 나무위키 보고왔는데 수상내역에 대상없는데요
방부제인생,성시경은 보컬이 좋은거긴해...보컬은 씹상위지
델짱에로,머야 성시경이 이리 저평가됌?
앤서니테일러,무슨 이건 아니다ㅋㅋ 솔직히 성시경 팬 아니면 희재 거리에서 말곤 잘 모를텐데
0나니,솔직히 성식이형은 가수로서의 전성기는 이미 10년전에 끝났지. 별그대 OST가 전성기의 마지막 이었다고 봄.이후로는 예능이나 시상식 MC에 더 가깝지. 지금은 유튜버고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
러브다이브,의외네 성시경 인기 미친듯이 많았을줄ㅋㅋㅋ거리에서가 워낙 유명해서
웅3,성시경은 이제 '먹을텐데'만 해도 먹고 살 듯.
shy9_29,내 취향은 성시경이긴 한데.. 콘서트 가봤는데 진짜 좋았음
임나우,은월향 나는 성시경이 더 좋은데 절대 그 정돈 아녔음ㅋㅋ
홍시우포드,내손을잡아 허어어어어어엉이 대부분인 노래보다 성적낮은 성시경 노래는 뭐임?
bslbsl,성시경은 앨범을 너무 늦게 냈는데 잘 안 된게 타격이 큼 히트곡이 언제 였는지도 모르겠음
채원.,국가안보 애초에 성시경이 고음으로 유명한게 아닌데 먼소리하노
단잉디임예솔,성시경 고평가 되는게 아마 정통 발라더? 요즘 좀 드물잖아 그런장르의 계보도에 이어지는 인물이라 그런거 같음.
STAN1EY,누가 가수로서 더 나은지는 모르겠지만 콘서트 하나 갈 수 있다면 난 성시경
어쩔사과,하입쿠키 성시경이 히트곡 더많다고? ㅋㅋ
구래덕송아,그냥 발라드계 황태자 계보를 누가 이었는지 생각해보면 됨. 애초에 성시경은 콘서트 가수인것도 크고
오르니틴,구래덕송아 신승훈 다음 계보가 성시경인데
씹다껌,성시경 아닌가?? 노래 난이도자체가 성시경 노래가 훨씬 어렵잖아 물론 노래 부르기 쉽다고 해서 원곡 가수가 노래 못 부르는다는 말은 아닌데근데 이게 누가 더 노래 잘 부르냐 그거 비교하는거임? 전체적인걸 비교하는거임?
킹갓제너럴아자르,둘중 한명 꼽으면 무조건 성시경인데.. 김나박이처럼 발성 짱짱한애들만 인정해주는 시대에서도 살아남아서 지금 00년생들까지 노래 다 듣잖아? 노래방 차트 100순위 켜서 히트곡 개수 세어봐도 성시경 압승임
Vousme,남자들끼리 엄대엄하면 여자합치면 성시경이 걍 이긴다니까 ㅋㅋㅋㅋㅋ 나같아도 여자친구랑 콘서트 찬스 있으면 성시경으로 고르겠다
센스는챌린저,"다 주관적이니까 갈리지 ㅋ음반판매량이나 1위 횟수, 저작권료 등등 다양한걸로 자료 제시라도 해야 납득하지난 성시경"
피카부,클라우드22 ㅇㅇ 성시경도 확실한 자기 컬러가 있고 좋은 가수인 건 사실인데 전성기 때 본인 시대 탑급은 아니였지
레아오,픽스트 연예인으로서 롱런은 맞지만 최근 10년동안 성시경은 히트곡이 없음.. 최근에 나온 앨범도 반응그닥이였고 가수로서 롱런했다고 하기는 좀 부족한듯
짭뇨띠,먹방은 성시경 압승
한산,브엉저낭 근데 뭐 내가 전문가도 아니고성시경이 위라고 생각하는 사람이 있다면그래라 ㅇㅇ 하고 말 것 같음.싸울 일은 아니여. 줄세우기로 해결할 수 있는 문제도 아니고 ㅋㅋ
RX-78,둘 중 한 콘서트만 가야된다면 성시경 ㅋㅋ
도표쵸데케,애초에 성시경은 전성기 시절에도 원탑급은 아니었는데...
ㄱㄱㄱㄱ12,개인적으론 비교하기 부끄러울 정도로 성시경이라 본다ㅋㅋ 가요 부흥기때도 빛났던 가수랑 암흑기에 비교우위로 앞선 가수의 차이인거 같음
OMGDMOUP,그냥 길거리가서 누구 콘서트 갈거냐고 100명한테 물어보삼 성시경이 압도적으로 이길껄?
V.주니오르,성시경
야무치,자람자 옛날에 성시경도 똑같은 소리들음ㅋㅋ
미하일발락,코제르다르크 성시경이 황제면 황제 너무 많아짐 이승기도 황제
귀로천,전승우승가능 ? 뭔 개소리를 시부림 히트곡은 성시경이 더많다는 소리인데 니논리대로면 원히트원더로 정점 찍으면 위라는 소리인데 그럼 원더걸스 이길 가수 아무도 없음
전승우승가능,귀로천 1위곡으로 따져볼까? 1위밑도 히트곡으로 치면 앨범수 넘치는 성시경이겠지 근데 그럼 성시경이 서태지도 이미 이긴거아니냐? ㅋ
덤더럼,귀로천 성시경 히트곡 나열좀. 나 진짜 몰라서 그럼. ㅊ
qlsjdowm,발라드 좋아해서 성시경 승
멍청이바로너,괴거 미화 ㅈ되는데 웃긴건 진짜 그 세대 겪어본사람들은 성시경 그정도급까진 절대 아니라고하는데 안겪은 애들이 올려치기 한다는거임ㅋㅋㅋㅋ 성시경이 발라드 goat라는글이 배댓 먹지않나
낡은핸드폰,그래도 누구 콘서트 갈거냐고 물어보면 다들 성시경 고를거지?
완소파,"성시경도 엘리트급이지만, 당시 음악프로 1위 같은 건 거의 못 해봄. 00년대 초반 여전히 전성기였던 임창정, 조성모, 00년대 대장급 브라운아이즈, sg워너비, 임팩트도르 한남자, 1~3집 연속 대박친 버즈 등에 비하면 2티어로 봐야 됨."
심판,자시안 성시경은 먹방이 엄청흥해서 ㅋㅋ
공정한나라당,20대 후반인데 이승철 성시경 말고 듣는 00년대 발라드 없는데 ㅋㅋ 근데 성시경이 진짜 오히려 젊은 세대에서 고평가된 가수임?
요산요수,브엉저낭 성시경이랑 박효신이 비빈다는게아니고 박효신도 저논리대로면 장밤준한테 못비빈다는건데 성시경 박효신 비교가 왜나오나여;;
범수염고래,쿠루루쿠루루쿠 아 뭐야 ㅅㅂ 나 7집 풀로 들었었네태양계있는 그 앨범이었구나 아 다시 정정성시경이다 이건
더블불고기세트,가수는 가창력이지 닥 성시경
윤종신,"포스터칼라 나도 이승철, 성시경 고름 ㅋㅋㅋ"
[페르소나],야광번쩍 지금 20대 된 사람들은 성시경 잘 모를거같은데??
강혜원와이번스,성시경은 가수로서도 연예인으로서도 인기 있는건 맞긴한데 걍 한창때도 혼자 짱먹는 급이었던적이 없음
97년생아재,오르니틴 발라드 황제 계보는 이문세-변진섭-신승훈-조성모까지임성시경은 택도 없음
수탉넘,원피스매니아 한국에서 발라드 가수 얘기하면 성시경은 무조건 거론될수 밖에 없는데 발라드쪽에서는 Goat 맞지
아미지노,성시경은 먹방력이 더 좋던데?
rkdkeeii,대충적당히 이거는 성시경 갈꺼 같은데 라이브 차이가 너무 나잖아
매콤항정살덮밥,대충적당히 나는 성시경 보러갈듯
루킹폴어탠션,차라리 성시경 임창정 대결이 더 밸런스 패치인듯
프코코,전승우승가능 가수를 평가할때 음원으로만 평가하나 ㅋㅋ 젤 중요한 가창력이 좆망인데 음원 원툴로 원탑이라고 쳐주는 사람은 님밖에 없음당장 성시경으로도 반반에서 약우세한 수준인데 원탑은 뭔놈의 원탑 음원만 따지고 평가할거면 원탑 찍어본적 있다고 인정해주겠음 가수로써 원탑은 ㄴㄴ근데 음원만 따지고 평가할거면 성시경도 1위 찍은적 있는데 ㅋㅋ
초코버내너,전승우승가능 그렇게 따지면 성시경도 음원1위 찍은거 많음
수선생님,콘서트는 1초도 안망설이고 성시경 갈듯
세스크킬패스,윤종신 그건 다 성시경 고르지 ㅋㅋㅋ
gordito7,난 성시경이 더 죠아잉
마크로니아,성시경형님이 노래하나는 줮대는데
복현2동,나 91년생 솔직히 말해서 성시경 노래 거리에서 말고 뭐 있는데?주위 사람들에게 물어보면 성시경 노래 아는거 말하라면거리에서 말곤 모르는 사람 수두룩함내 기억에 성시경은 거리에서랑 라디오 잘 자요예능에서의 성시경 말곤 모르겠음
러브라이브,복현2동 넌 감동이었어너는 나의 봄이다우린제법잘어울려요좋을텐데내게오는길희재등등..솔직히 많은데
시펄넘,아재인데 성시경 임팩트가 있었나? 박효신을 적어도 내 주변에선 더 많이 들었던듯이수나 브아솔도 데뷔시기 비슷할텐데 ㅋ
DAEGU,어차피 장르 분야도 다른데 비교는 무의미하고 대중에게 콘서트 어디갈꺼냐고 줄세우면 성시경으로 몰릴듯
텐하흐맘,한섬닷컴 방송 활동을 단 한 번도 하지 않았음에도 불구하고[1] 음악 프로그램 차트 1위를 달성하고 음반 판매량 70만장과 음원차트 21주 연속 1위[2]라는 대기록을 세웠다벌써일년 21주연속이라는데 거리에서 몇주냐
